"policy_id"	"policy_name"	"policy_start"	"policy_end"
"trap_hosp"	"Requires Hospital Like Facilities Or Other Physical Plant Requirements"	1973	2013
"trap_lic"	"Requires Additional Licensure For Abortion Providers"	1973	2013
"trustcode"	" Provides A Comprehensive Model For Codifying The Law On Trusts."	2002	2016
"trustdecanting"	"Non Judicial Method For Modyfying Irrevocable Trust"	2016	2017
"trusteespowersact1964"	"Codifies Trust Laws"	1976	1985
"truthsent"	"State Passes Truth-In-Sentencing Law Before 1997"	1911	1996
"tu_decent"	"States Allowing For Less Central Control Over Tuition Setting"	1987	2006
"uccarticle1generalprovisions2001"	"Provides Definitions And General Provisions Which, In The Absence Of Conflicting Provisions,"	2001	2015
"uccarticle2aleases19871990"	" Provides States With A Legal Framework For Any Transaction, Regardless Of Form, That Creates A Lease."	1988	2002
"uccarticle3negotiableinstruments1990"	"Attempts To Standardize Negotiable Instruments In States"	1991	2008
"uccarticle3negotiableinstrumentsandarticle4bankdeposits2002"	"Attempts To Standardize Negotiable Instruments In States"	2003	2014
"uccarticle4aamendments2012"	"Amendments Provide That Article 4A Does Apply To A Remittance Transfer That Is Not An Electronic Funds Transfer Under The Federal Electronic Funds Transfer Act"	2012	2016
"uccarticle4afundstransfers1989"	"Includes Electronic Transfers In Regulation Of Fund Transfers"	1990	2001
"uccarticle5lettersofcredit1995"	"Regulates Payment System"	1996	2006
"uccarticle6bulksales1989"	"Regulates Payment System"	1990	2015
"uccarticle6repeal"	"Repeal Legislation Of Ucc Article 6 (Bulk Sales Law)"	1990	1990
"uccarticle6revise"	"Revise Ucc Article 6 (Bulk Sales Law)"	1990	1997
"uccarticle7documentsoftitle2003"	"Regulates Storage And Shipment Of Tangible Goods"	2004	2015
"uccarticle8investmentsecurities"	"Governs Transfer Of Investment Securities"	1987	1994
"uccarticle8investmentsecurities1994"	"Revises Commercial Codes, Specifically Transfers Of Securities"	1995	2002
"uccarticle9amendments"	"Regulating Secure Transactions In Personal Prperty"	1973	2003
"uccarticle9amendments2010"	"Provides The Rules Governing Any Transaction (Other Than A Finance Lease) That Couples A Debt With A Creditor's Interest In A Debtor's Personal Property"	2011	2015
"uccarticle9securedtransactions1998"	"Provides A Statutory Framework That Governs Secured Transactions--Transactions Which Involve The Granting Of Credit Secured By Personal Property."	1973	2012
"ultrasound"	"Requirements Surrounding Ultrasounds And Abortion"	1996	2012
"unclaimedpropertyact"	"Regulates Abandonment Of Property"	1995	2008
"unclaimedpropertyact19521981"	"Regulates Abandonment Of Property"	1968	1991
"undoctuit"	"Conditional Residency For Undocumented Immigrants"	2001	2006
"uniformunclaimedpropertyact"	"Provides System For Transferring Intagible Personal Property In Safety Deposit Accounts"	1967	2001
"unincorporatednonprofitassociationact19921996"	"Governs All Unincorporated Nonprofit Associations That Are Formed Or Operate In A State"	1993	2008
"unincorporatednonprofitassociationact2008lastamended2011"	"Governs All Unincorporated Nonprofit Associations That Are Formed Or Operate In A State"	2009	2015
"unionlimits"	"Limits On Union Campaigning"	1992	2000
"universalhealthcare"	"Universal Healthcare Bill"	1988	1994
"universalprek"	"Universal Pre-K Education"	1995	2008
"unsworndeclarationsact"	"Permit The Use Of Unsworn Declarations Made Under Penalty Of Perjury In State Courts"	2017	2017
"unswornforeigndeclarationsact2008"	"Permit, In State Court Proceedings, Unsworn Declarations Under Penalty Of Perjury To Be Executed By Witnesses Physically Located Outside The United States In Lieu Of Affidavits, Verifications, Or Other Sworn Court Filings."	2002	2017
"uppercoloradoriverbasincompact"	"Administeration Of Apportionment Of Upper Colorado River Basin"	1948	1949
"urbrenen"	"Urban Renewal - Enabling"	1941	1952
"utreg"	"Utility Regulation Commission"	1839	1977
"u_record_sys"	"State Establishment Of Postsecondary Student Record Data System"	1976	2009
"vendorandpurchaserriskact1935"	"Protect The Purchaser Of Real Estate Where There Is A Binding Contract Of Sale"	1937	1997
"veteransguardianshipact1942"	"Regulates Guardianship Of Incompetent Veterans, And Orphans Of Deceased Veterans"	1942	1957
"viatesting"	"Requires Testing To Ascertain Viability"	1984	1999
"viccomp"	"Victims Compensation"	1965	1988
"vicrtsamd"	"Victims Rights Constitutional Amendment "	1982	1999
"victimnotif"	"Requiring Victim Notification Of Developments In Case"	1979	2001
"victimnotification"	"State System For Notifying Victims Of Crime"	1979	2001
"victimrights"	"Additional Protection Of Victims"	1982	1998
"victimsofcrimeactmodel"	"Regulating Satisfaction Of Losses Suffered From Victims Of Crime"	1995	1995
"voidabletransactionsactamendments2014_formerlyfraudulenttransferact"	"Strengthens Creditor Protections"	2015	2017
"voterid"	"Year Of Any Voter Id - Either Request Or Require"	1950	2012
"vouchers"	"State Voucher Funding For Higher Ed"	2003	2003
"waiting"	"Require Waiting Period"	1973	2011
"welfagy"	"Welfare Agency"	1863	1975
"westerncorrectionscompact"	"Promise To Improve Corrections Institutions And Facilities "	1959	1980
"westerninterstateenergycompact"	"Aid In Energy Cooperation Among Western States"	1963	1977
"westernregionaleducationcompact"	"Aid In Facilitating Education For Residents Of Compact"	1951	2008
"wildlifeviolatorcompact"	"Provides A Means Through Which States Can Participate In A Rciprocal Program To Enforce Wildlife Citations"	1989	2014
"willsrecognitionact"	" International Convention Calling For All Countries And States To Adopt A Uniform Formality For Executing Wills."	1978	2010
"witnessint"	"Prevents Tampering With Or Intimidating Testimony "	1963	2004
"witnessintimidation"	"State Prevention Of Witness Intimidation"	1973	2001
"wk20via"	"Ban Abortions After 20 Weeks"	1973	2013
"wmd"	"Banning Possession Of A Wmd Or Hoax Wmd"	1999	2004
"workcom"	"Workmens Compensation"	1911	1948
"worksitebanstate"	"Smoking Ban In All Indoor Workplaces"	2003	2010
"writreq"	"Written Request Requirement For Sex Offender Registry"	1993	1998
"w_abortion_parental_notice_1983"	"Does The State Require Parental Notification Or Consent Prior To A Minor Obtaining An Abortion? (1=Notification; 2=Consent)"	1983	2014
"w_animal_cruelty_felon"	"Is There A Felony Charge For Animal Cruelty?"	1935	2014
"w_ec_access_expan"	"Has The State Expanded Access To Emergency Contraception?"	1974	2014
"w_educ_biblepubli"	"Does The State Permit The Ten Commandments To Be Displayed On Public Property?"	1935	2013
"w_educ_bibleschoo"	"Does The State Mandate Ten Commandments Be Posted In Public Institutions/Schools?"	1935	2013
"w_educ_mom_silentmandator"	"Is A Moment Of Silence Mandatory For Schools?"	1957	2014
"w_educ_mom_silentpermis"	"Is A Moment Of Silence Permitted For Schools?"	1957	2014
"w_environment_endangered_specie"	"Does The State Have An Endangered Species Act?"	1969	2014
"w_envir_solar_taxcredit_loca"	"Does The State Approve For A Local Tax Credit For Residential Solar Installations?"	1975	2014
"w_envir_solar_taxcredit_stat"	"Does The State Have A Tax Credit For Residential Solar Installations?"	1975	2014
"w_gayrights_employment_discrimi"	"Does The State Ban Employment Discrimination On The Basis Of Sexual Orientation?"	1982	2014
"w_gayrights_public_accomodation"	"Does The State Ban Discrimination In Public Accommodations On The Basis Of Sexual Orientation?"	1989	2014
"w_gayright_publi_accom_genderi"	"Does The State Ban Discrimination In Public Accommodations On The Basis Of Gender Id?"	1989	2014
"w_guncontrl_bc_dealer_handgu"	"Does The State Require Background Checks For Buying Handguns From Dealers?"	1935	1993
"w_guncontrl_bc_dealer_rifl"	"Does The State Require Background Checks For Buying Rifles From Dealers?"	1935	1993
"w_guncontrol_registration_requi"	"Does The State Have Registration Requirements For Rifles?"	1935	2014
"w_guncontrol_waitingperio"	"Does The  State Have A Waiting Period For All Gun Purchases?"	1935	2014
"w_race_disc_public_accommodatio"	"Does The State Ban Racial Discrimination In Public Accommodations?"	1865	1963
"zerotol"	"Zero Tolerance (<.02 BAC) for Underage Drinking"	1983	1998
"zerotoleranceapis"	"Law That Establishes Legal Bac Limit Of .02 For Underage Drivers"	1983	1998
"zerotolerancelaw"	"Law That Establishes Legal Bac For Underage Drivers Lower Than Adult Drivers"	1984	1999
